"date","beach","ecoli","status","rain","DOY"
2014-07-27,"BRT",11,"swim",FALSE,2019-07-27
2014-07-27,"MNY",16,"swim",FALSE,2019-07-27
2014-07-27,"PEB",10,"swim",FALSE,2019-07-27
2014-07-27,"PRB",30,"swim",FALSE,2019-07-27
2014-07-27,"WBO",27,"swim",FALSE,2019-07-27
2014-07-28,"BRT",11,"swim",FALSE,2019-07-28
2014-07-28,"MNY",44,"swim",FALSE,2019-07-28
2014-07-28,"PEB",10,"swim",FALSE,2019-07-28
2014-07-28,"PRB",28,"swim",FALSE,2019-07-28
2014-07-28,"WBO",139,"swim",FALSE,2019-07-28
2014-07-29,"BRT",10,"swim",FALSE,2019-07-29
2014-07-29,"MNY",41,"swim",FALSE,2019-07-29
2014-07-29,"PEB",10,"swim",FALSE,2019-07-29
2014-07-29,"PRB",26,"swim",FALSE,2019-07-29
2014-07-29,"WBO",40,"swim",FALSE,2019-07-29
2014-07-30,"BRT",17,"swim",FALSE,2019-07-30
2014-07-30,"MNY",24,"no swim",TRUE,2019-07-30
2014-07-30,"PEB",14,"no swim",TRUE,2019-07-30
2014-07-30,"PRB",35,"no swim",TRUE,2019-07-30
2014-07-30,"WBO",45,"no swim",TRUE,2019-07-30
2014-07-31,"BRT",13,"swim",FALSE,2019-07-31
2014-07-31,"MNY",29,"swim",FALSE,2019-07-31
2014-07-31,"PEB",15,"swim",FALSE,2019-07-31
2014-07-31,"PRB",89,"swim",FALSE,2019-07-31
2014-07-31,"WBO",40,"no swim",TRUE,2019-07-31
2014-08-01,"BRT",17,"swim",FALSE,2019-08-01
2014-08-01,"MNY",47,"swim",FALSE,2019-08-01
2014-08-01,"PEB",23,"swim",FALSE,2019-08-01
2014-08-01,"PRB",57,"swim",FALSE,2019-08-01
2014-08-01,"WBO",39,"swim",FALSE,2019-08-01
2014-08-02,"BRT",19,"swim",FALSE,2019-08-02
2014-08-02,"MNY",124,"swim",FALSE,2019-08-02
2014-08-02,"PEB",28,"swim",FALSE,2019-08-02
2014-08-02,"PRB",55,"swim",FALSE,2019-08-02
2014-08-02,"WBO",24,"swim",FALSE,2019-08-02
2014-08-03,"BRT",73,"swim",FALSE,2019-08-03
2014-08-03,"MNY",22,"swim",FALSE,2019-08-03
2014-08-03,"PEB",18,"swim",FALSE,2019-08-03
2014-08-03,"PRB",19,"swim",FALSE,2019-08-03
2014-08-03,"WBO",39,"swim",FALSE,2019-08-03
2014-08-04,"BRT",26,"swim",FALSE,2019-08-04
2014-08-04,"MNY",37,"swim",FALSE,2019-08-04
2014-08-04,"PEB",10,"swim",FALSE,2019-08-04
2014-08-04,"PRB",17,"swim",FALSE,2019-08-04
2014-08-04,"WBO",17,"swim",FALSE,2019-08-04
2014-08-05,"BRT",25,"swim",FALSE,2019-08-05
2014-08-05,"MNY",45,"swim",FALSE,2019-08-05
2014-08-05,"PEB",10,"swim",FALSE,2019-08-05
2014-08-05,"PRB",34,"swim",FALSE,2019-08-05
2014-08-05,"WBO",34,"swim",FALSE,2019-08-05
2014-08-06,"BRT",23,"swim",FALSE,2019-08-06
2014-08-06,"MNY",14,"swim",FALSE,2019-08-06
